                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.91546,                0.43118,                0.96584,                0.96813,                0.94555,                0.96134,                0.68884,                 1.0051,                 0.3935,                   1.04,             0.00034038,             0.00034038,             0.00034038
                     49,                0.91033,                0.43038,                0.96087,                0.97014,                0.94624,                0.96099,                0.68706,                 1.0105,                0.39502,                 1.0397,             0.00033419,             0.00033419,             0.00033419
                     50,                0.90954,                0.42489,                0.96013,                0.96881,                0.94314,                0.96227,                0.68962,                 1.0147,                0.39299,                 1.0436,               0.000328,               0.000328,               0.000328
                     51,                0.89701,                0.42592,                0.95643,                0.96949,                0.94582,                0.96187,                0.69103,                 1.0045,                0.38777,                 1.0408,             0.00032181,             0.00032181,             0.00032181
                     52,                 0.8975,                0.42117,                0.96181,                0.96824,                0.94823,                 0.9615,                0.69122,                 1.0035,                0.38807,                 1.0374,             0.00031562,             0.00031562,             0.00031562
                     53,                0.89188,                0.41974,                0.95693,                0.96968,                0.94671,                 0.9603,                0.68931,                 1.0062,                0.39057,                 1.0399,             0.00030944,             0.00030944,             0.00030944
                     54,                0.88803,                0.40989,                0.95642,                0.97065,                0.94561,                0.96154,                0.69439,                 0.9997,                0.38762,                 1.0358,             0.00030325,             0.00030325,             0.00030325
                     55,                0.88731,                0.41584,                0.95184,                0.96851,                 0.9473,                0.96138,                0.69466,                0.99562,                0.38481,                 1.0337,             0.00029706,             0.00029706,             0.00029706
                     56,                0.88726,                0.41233,                0.95358,                0.97031,                0.95107,                0.96198,                0.69262,                 1.0004,                0.37993,                 1.0365,             0.00029088,             0.00029088,             0.00029088
                     57,                0.88247,                 0.4087,                0.94782,                0.96973,                0.94821,                0.96019,                0.69098,                 1.0006,                0.38256,                 1.0394,             0.00028469,             0.00028469,             0.00028469
                     58,                0.87687,                0.40412,                0.95213,                0.97141,                0.95044,                0.96137,                0.69375,                0.99978,                0.37612,                 1.0387,              0.0002785,              0.0002785,              0.0002785
                     59,                0.88032,                0.40617,                0.95207,                0.97191,                0.95026,                0.96249,                0.69336,                 1.0028,                0.37806,                 1.0415,             0.00027231,             0.00027231,             0.00027231
                     60,                 0.8715,                0.40109,                0.94581,                0.97336,                0.94632,                0.96277,                0.69361,                0.99822,                0.37745,                 1.0381,             0.00026613,             0.00026613,             0.00026613
                     61,                0.86433,                0.39689,                0.94494,                0.97142,                0.94935,                0.96238,                0.69562,                0.99251,                0.37672,                 1.0369,             0.00025994,             0.00025994,             0.00025994
                     62,                0.85604,                0.39353,                 0.9417,                0.97028,                0.94826,                0.96181,                0.69652,                0.99158,                0.38108,                  1.035,             0.00025375,             0.00025375,             0.00025375
                     63,                0.85967,                0.39149,                0.94348,                0.97038,                0.95017,                0.96251,                0.69857,                0.99226,                0.37279,                 1.0347,             0.00024756,             0.00024756,             0.00024756
                     64,                0.84374,                0.38692,                 0.9397,                0.97249,                0.95032,                 0.9624,                0.69402,                0.99421,                0.37134,                 1.0385,             0.00024137,             0.00024137,             0.00024137
                     65,                 0.8426,                0.38598,                0.94375,                0.97533,                0.94937,                0.96389,                0.69767,                0.99309,                0.37014,                  1.037,             0.00023519,             0.00023519,             0.00023519
                     66,                0.84639,                0.38732,                0.93984,                0.96854,                 0.9508,                0.96304,                0.69609,                0.99818,                0.37332,                 1.0374,               0.000229,               0.000229,               0.000229
                     67,                0.84226,                0.38825,                0.93619,                0.97381,                0.94914,                0.96376,                0.69766,                0.99299,                0.36928,                 1.0341,             0.00022281,             0.00022281,             0.00022281
                     68,                0.84111,                0.38008,                0.93986,                0.97454,                0.94791,                0.96305,                0.69946,                0.99434,                0.36684,                 1.0378,             0.00021662,             0.00021662,             0.00021662
                     69,                0.83735,                0.38218,                0.93771,                0.96985,                0.95148,                0.96214,                0.69463,                  1.003,                0.37256,                 1.0412,             0.00021044,             0.00021044,             0.00021044
                     70,                 0.8337,                  0.376,                0.93686,                0.97183,                 0.9494,                0.96356,                0.69669,                0.99827,                0.36924,                 1.0396,             0.00020425,             0.00020425,             0.00020425
                     71,                0.82208,                0.37398,                0.93049,                0.97275,                0.94947,                0.96328,                0.69766,                0.99286,                0.36921,                 1.0393,             0.00019806,             0.00019806,             0.00019806
                     72,                0.82042,                0.37102,                0.92697,                0.97238,                0.95201,                0.96386,                0.69692,                 1.0014,                0.37065,                 1.0411,             0.00019188,             0.00019188,             0.00019188
