               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.025281,            0.079725,            0.005628,             0.96554,             0.94349,             0.94626,             0.64759,            0.029448,            0.062015,           0.0070314,           0.0025043,           0.0025043,           0.0025043
                  55,            0.025116,            0.078791,           0.0054739,             0.96392,             0.94251,             0.94678,             0.65242,            0.029138,            0.062062,           0.0070508,           0.0023629,           0.0023629,           0.0023629
                  56,            0.024908,            0.080675,           0.0054267,             0.96518,             0.94122,             0.94501,             0.65008,            0.029025,            0.062624,           0.0072514,           0.0022214,           0.0022214,           0.0022214
                  57,            0.024515,            0.076589,           0.0053874,             0.96615,             0.94289,             0.94641,             0.64795,            0.029083,            0.063009,           0.0070612,             0.00208,             0.00208,             0.00208
                  58,            0.024526,             0.07838,           0.0052804,             0.96416,             0.94538,             0.94693,             0.65102,            0.028999,             0.06253,           0.0068578,           0.0019386,           0.0019386,           0.0019386
                  59,            0.024434,            0.077609,            0.005237,              0.9651,             0.94586,             0.94703,             0.65154,            0.028991,            0.063075,           0.0068759,           0.0017971,           0.0017971,           0.0017971
                  60,            0.023979,             0.07736,           0.0050507,             0.96607,             0.94364,             0.94682,             0.65243,            0.028926,            0.063445,           0.0069031,           0.0016557,           0.0016557,           0.0016557
                  61,            0.023901,            0.077681,           0.0051815,             0.96625,              0.9417,             0.94604,              0.6496,            0.029169,            0.063521,           0.0072203,           0.0015143,           0.0015143,           0.0015143
                  62,            0.024263,            0.077505,           0.0051942,             0.96332,             0.94831,             0.94653,             0.65055,            0.029161,            0.063369,           0.0073719,           0.0013729,           0.0013729,           0.0013729
                  63,            0.023917,            0.076074,            0.004974,             0.96441,             0.94642,             0.94601,             0.65129,            0.029232,            0.063764,           0.0071709,           0.0012314,           0.0012314,           0.0012314
                  64,            0.023715,            0.076241,           0.0049682,             0.96583,             0.94571,             0.94631,             0.65064,            0.029274,            0.063818,           0.0070107,             0.00109,             0.00109,             0.00109
                  65,            0.023763,            0.075433,            0.005032,             0.96643,             0.94459,              0.9463,             0.65136,            0.029079,            0.064048,           0.0072685,          0.00094857,          0.00094857,          0.00094857
                  66,            0.023147,            0.076137,           0.0047494,             0.96778,             0.94382,              0.9472,             0.65098,            0.029176,            0.063987,           0.0070982,          0.00080714,          0.00080714,          0.00080714
                  67,            0.023552,            0.075366,           0.0048081,             0.96599,             0.94626,             0.94723,             0.65051,            0.029228,            0.064503,           0.0070632,          0.00066571,          0.00066571,          0.00066571
                  68,            0.023217,            0.074094,           0.0047743,             0.96614,             0.94601,             0.94706,             0.65189,            0.029195,            0.064901,           0.0071103,          0.00052429,          0.00052429,          0.00052429
                  69,            0.023155,            0.072976,            0.004725,             0.96623,             0.94675,             0.94748,             0.65073,            0.029216,            0.064902,           0.0070929,          0.00038286,          0.00038286,          0.00038286
