               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.024739,            0.041715,           0.0056396,             0.97232,             0.95047,             0.95752,             0.68154,            0.028078,            0.057267,            0.005617,           0.0030179,           0.0030179,           0.0030179
                  69,            0.024521,            0.043034,           0.0054581,             0.97512,             0.95057,             0.95643,             0.68231,            0.027857,             0.05711,           0.0054101,           0.0029137,           0.0029137,           0.0029137
                  70,             0.02475,            0.042964,            0.005389,             0.97239,             0.95067,             0.95501,             0.67975,            0.027962,            0.057391,           0.0057696,           0.0028095,           0.0028095,           0.0028095
                  71,            0.024445,            0.042171,           0.0054202,             0.97223,              0.9513,             0.95429,             0.68034,            0.027972,            0.057492,            0.005566,           0.0027053,           0.0027053,           0.0027053
                  72,            0.024204,            0.041455,           0.0054458,             0.97128,             0.95181,             0.95512,             0.68208,            0.027833,            0.057235,           0.0055445,           0.0026011,           0.0026011,           0.0026011
                  73,            0.024052,            0.041399,           0.0053816,             0.97254,             0.95017,             0.95337,             0.68327,            0.027693,            0.057601,           0.0057347,           0.0024968,           0.0024968,           0.0024968
                  74,            0.024258,            0.042248,           0.0052532,             0.97132,             0.95143,             0.95344,             0.68148,            0.027777,            0.057501,           0.0056768,           0.0023926,           0.0023926,           0.0023926
                  75,            0.023932,            0.041318,           0.0051467,             0.97092,             0.95127,             0.95471,             0.68334,            0.027744,            0.057609,           0.0055919,           0.0022884,           0.0022884,           0.0022884
                  76,            0.023698,            0.041006,           0.0049618,             0.97258,              0.9527,             0.95599,             0.68326,            0.027844,            0.057933,            0.005561,           0.0021842,           0.0021842,           0.0021842
                  77,            0.023606,            0.041243,           0.0051737,             0.97328,             0.95062,             0.95515,             0.68196,            0.027918,            0.058144,           0.0055666,             0.00208,             0.00208,             0.00208
                  78,            0.023444,            0.040429,           0.0050283,             0.97309,             0.95096,             0.95597,             0.68405,            0.027961,            0.057777,           0.0055026,           0.0019758,           0.0019758,           0.0019758
                  79,            0.023705,            0.041308,           0.0048542,              0.9714,             0.95371,              0.9553,             0.68303,            0.027928,            0.058141,           0.0056128,           0.0018716,           0.0018716,           0.0018716
                  80,            0.023577,            0.040991,           0.0049008,             0.97384,             0.95216,             0.95459,             0.68288,            0.027908,            0.058169,           0.0057213,           0.0017674,           0.0017674,           0.0017674
                  81,            0.023313,            0.040377,           0.0047698,             0.97128,             0.95276,             0.95438,             0.68265,            0.027934,            0.058268,           0.0057215,           0.0016632,           0.0016632,           0.0016632
                  82,            0.023384,            0.040852,           0.0048036,             0.97304,             0.95114,             0.95445,              0.6828,            0.027863,            0.058066,            0.005692,           0.0015589,           0.0015589,           0.0015589
                  83,            0.022976,            0.039477,            0.004627,             0.97356,             0.95261,             0.95535,             0.68357,            0.027909,            0.058139,            0.005613,           0.0014547,           0.0014547,           0.0014547
                  84,            0.023355,             0.04089,           0.0046876,             0.97477,             0.95155,             0.95537,             0.68359,             0.02789,             0.05818,           0.0057102,           0.0013505,           0.0013505,           0.0013505
                  85,            0.023356,            0.040561,           0.0047042,             0.97496,             0.95131,             0.95572,             0.68485,             0.02779,            0.058314,           0.0057267,           0.0012463,           0.0012463,           0.0012463
                  86,            0.023178,            0.039846,           0.0045988,             0.97445,             0.95135,             0.95643,             0.68582,             0.02781,            0.058126,            0.005665,           0.0011421,           0.0011421,           0.0011421
                  87,            0.022858,            0.039529,           0.0045626,             0.97404,             0.95116,             0.95504,             0.68489,            0.027798,            0.058354,           0.0058098,           0.0010379,           0.0010379,           0.0010379
                  88,            0.022755,            0.039718,           0.0045719,             0.97364,             0.95191,             0.95494,             0.68453,            0.027891,            0.058576,           0.0057185,          0.00093368,          0.00093368,          0.00093368
                  89,            0.022575,            0.040332,           0.0044721,             0.97386,             0.95238,              0.9555,             0.68583,             0.02787,            0.058679,           0.0058621,          0.00082947,          0.00082947,          0.00082947
                  90,            0.022832,            0.039669,           0.0044204,             0.97479,             0.95071,             0.95532,             0.68662,            0.027827,            0.058683,           0.0059442,          0.00072526,          0.00072526,          0.00072526
                  91,             0.02261,            0.038896,           0.0044337,             0.97405,             0.95112,             0.95645,             0.68658,            0.027866,            0.058829,           0.0059076,          0.00062105,          0.00062105,          0.00062105
                  92,            0.022243,            0.039529,            0.004357,              0.9735,             0.95093,             0.95591,             0.68632,            0.027937,            0.058845,           0.0059151,          0.00051684,          0.00051684,          0.00051684
                  93,            0.022544,            0.039411,           0.0044873,             0.97378,             0.95133,             0.95613,             0.68705,             0.02793,            0.058867,           0.0059384,          0.00041263,          0.00041263,          0.00041263
                  94,            0.022786,            0.039487,           0.0043623,              0.9732,             0.95305,             0.95607,             0.68681,            0.027957,            0.058936,           0.0058976,          0.00030842,          0.00030842,          0.00030842
