               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.028065,            0.046128,            0.007733,             0.96851,             0.94609,             0.95547,             0.67026,            0.028528,            0.057155,           0.0059388,            0.008383,            0.008383,            0.008383
                  51,             0.02787,            0.046259,           0.0076903,             0.96763,             0.94604,             0.95308,             0.66806,            0.028399,            0.057318,           0.0058036,             0.00835,             0.00835,             0.00835
                  52,            0.027733,            0.045887,           0.0078321,             0.96667,             0.94741,             0.95442,             0.66764,            0.028717,            0.057311,           0.0060435,            0.008317,            0.008317,            0.008317
                  53,            0.027916,            0.046041,           0.0075768,             0.96626,              0.9445,               0.955,             0.66815,            0.028683,            0.056906,            0.006187,            0.008284,            0.008284,            0.008284
                  54,            0.028026,            0.046822,           0.0077352,             0.96861,             0.94729,             0.95712,             0.66912,            0.028596,            0.056845,           0.0057872,            0.008251,            0.008251,            0.008251
                  55,            0.027752,            0.047058,           0.0075489,             0.96806,             0.94466,             0.95393,             0.67128,            0.028433,            0.057122,           0.0058657,            0.008218,            0.008218,            0.008218
                  56,            0.027415,             0.04521,           0.0070709,             0.96886,             0.94663,             0.95349,             0.66943,            0.028375,            0.057384,           0.0056781,            0.008185,            0.008185,            0.008185
                  57,            0.027432,            0.045526,           0.0075525,             0.96937,             0.94597,             0.94999,             0.66523,            0.028547,            0.057881,           0.0058253,            0.008152,            0.008152,            0.008152
                  58,             0.02701,            0.044926,           0.0070228,             0.96803,             0.94639,              0.9528,             0.67192,            0.028197,            0.057092,           0.0059121,            0.008119,            0.008119,            0.008119
                  59,            0.027382,            0.045537,            0.007128,             0.96917,             0.94982,             0.95434,             0.67285,             0.02837,            0.057659,           0.0057332,            0.008086,            0.008086,            0.008086
                  60,            0.027055,            0.045485,           0.0073226,             0.97264,             0.94732,             0.95829,             0.67581,            0.028296,            0.056624,           0.0056221,            0.008053,            0.008053,            0.008053
                  61,            0.027496,            0.045387,           0.0074023,             0.96987,             0.94665,             0.95478,             0.67259,            0.028503,            0.057379,           0.0056441,             0.00802,             0.00802,             0.00802
                  62,            0.027282,            0.046195,           0.0072209,             0.97037,             0.94803,             0.95422,             0.67038,            0.028281,            0.057226,           0.0057215,            0.007987,            0.007987,            0.007987
                  63,            0.027238,            0.045592,           0.0069863,              0.9754,             0.95011,             0.95656,             0.67613,            0.028191,            0.056928,           0.0052212,            0.007954,            0.007954,            0.007954
                  64,            0.027475,            0.045387,           0.0073342,             0.97211,             0.94774,             0.95684,             0.67425,            0.028199,            0.056499,           0.0053713,            0.007921,            0.007921,            0.007921
                  65,            0.027271,            0.045665,           0.0070759,              0.9723,             0.94964,             0.95437,             0.67522,            0.028015,            0.057213,            0.005513,            0.007888,            0.007888,            0.007888
                  66,            0.027139,            0.044495,            0.007275,             0.97057,             0.94841,             0.95333,             0.67741,             0.02817,            0.057199,           0.0056224,            0.007855,            0.007855,            0.007855
                  67,            0.026937,            0.044543,           0.0070231,             0.97391,             0.94879,             0.95833,              0.6781,            0.028115,            0.057042,           0.0053284,            0.007822,            0.007822,            0.007822
                  68,            0.027007,            0.044092,           0.0069291,             0.97432,             0.95203,             0.95848,             0.67901,            0.028185,            0.056833,           0.0053789,            0.007789,            0.007789,            0.007789
                  69,            0.026743,            0.045545,           0.0068062,             0.97272,             0.94927,             0.95606,             0.68065,            0.027962,            0.056631,           0.0054259,            0.007756,            0.007756,            0.007756
                  70,            0.026877,            0.045451,           0.0066747,             0.97158,             0.94836,             0.95795,             0.67716,            0.028153,              0.0567,           0.0055789,            0.007723,            0.007723,            0.007723
                  71,            0.026832,            0.044821,           0.0068543,              0.9725,             0.94968,             0.95484,             0.67587,            0.028105,             0.05702,           0.0055389,             0.00769,             0.00769,             0.00769
                  72,            0.026534,            0.044142,           0.0069657,             0.97349,             0.95005,             0.95751,             0.67773,            0.028206,            0.056701,           0.0056806,            0.007657,            0.007657,            0.007657
                  73,            0.026576,            0.044198,           0.0067729,             0.97427,             0.94945,             0.95666,             0.68034,            0.027961,            0.056797,           0.0055685,            0.007624,            0.007624,            0.007624
                  74,             0.02659,            0.045039,           0.0066069,             0.97204,             0.94848,             0.95782,              0.6796,            0.027914,            0.056734,           0.0056929,            0.007591,            0.007591,            0.007591
                  75,             0.02661,            0.044266,           0.0065522,              0.9716,             0.95319,              0.9562,             0.67882,            0.027935,            0.057054,           0.0053325,            0.007558,            0.007558,            0.007558
                  76,            0.026322,            0.043941,           0.0063454,              0.9714,             0.95341,             0.95847,              0.6785,            0.028101,            0.056887,           0.0053949,            0.007525,            0.007525,            0.007525
                  77,            0.026153,            0.044244,           0.0066587,             0.97402,              0.9522,             0.95483,             0.67773,            0.027907,             0.05742,           0.0052717,            0.007492,            0.007492,            0.007492
